,recency,recency,recency,frequency,frequency,frequency,monetary,monetary,monetary
,mean,median,count,mean,median,count,mean,median,count
cluster,,,,,,,,,
0,-0.3039264,-0.30940682,8886,-0.16938195,-0.18084954,8886,-0.13107902,-0.13611442,8886
1,1.2404181,1.2450914,476,0.79601,0.3138155,476,0.4313647,0.25769222,476
2,3.1212103,3.1212103,1,20.595081,20.595081,1,55.785828,55.785828,1
3,3.875439,3.844856,482,0.58988374,0.3138155,482,0.4128516,0.17393875,482
4,1.1225694,0.7358593,7,10.631114,10.207116,7,18.81618,19.32592,7
5,2.9872017,2.9872017,1,43.844337,43.844337,1,11.934293,11.934293,1
6,1.5012226,1.2718931,115,3.7334566,3.2818058,115,2.5101206,2.456047,115
7,2.1167293,1.6471169,23,4.873337,4.2711363,23,8.146193,7.664831,23
8,0.7775508,0.5750491,9,17.95687,17.132427,9,9.4427,9.412273,9
